model,candidate,na,far_fold1,far_n_fold1,far_d_fold1,far_fold2,far_n_fold2,far_d_fold2,far_fold3,far_n_fold3,far_d_fold3,far_mean,det_all_mean,det_all_primary,absorb_e1_mean,absorb_e1_primary
M1,A,False,0.6875,1408.0,2048.0,0.0,0.0,2048.0,0.60546875,1240.0,2048.0,0.4309895833333333,0.5372374539041206,0.8148749398749399,0.4141852591370779,0.11867349596319125
M1,B,False,0.52685546875,1079.0,2048.0,0.02880859375,59.0,2048.0,0.72998046875,1495.0,2048.0,0.4285481770833333,0.5251523168189834,0.6807659932659933,0.4996093410886362,0.4110599878461672
M1,C,False,0.498046875,1020.0,2048.0,0.2548828125,522.0,2048.0,0.65283203125,1337.0,2048.0,0.4685872395833333,0.683982683982684,0.7470238095238095,0.28833521428364733,0.2244118413056689
M1,D,False,0.46875,960.0,2048.0,0.25048828125,513.0,2048.0,0.6240234375,1278.0,2048.0,0.44775390625,0.6373456790123457,0.6348605098605099,0.33929449894377406,0.35549960934108865
M1,E3,False,0.00244140625,5.0,2048.0,0.0,0.0,2048.0,0.00048828125,1.0,2048.0,0.0009765625,0.5372374539041206,0.8148749398749399,0.4141852591370779,0.11867349596319125
M2,A,False,0.13916015625,285.0,2048.0,0.00048828125,1.0,2048.0,0.0166015625,34.0,2048.0,0.052083333333333336,0.44708994708994715,0.48614117364117365,0.6393205428711982,0.6234048094452643
M2,B,True,,,,,,,,,,,,,,
M2,C,False,0.212890625,436.0,2048.0,0.04150390625,85.0,2048.0,0.052734375,108.0,2048.0,0.10237630208333333,0.4588544171877505,0.44342231842231844,0.5321353126718176,0.5493532424689643
M2,D,False,0.15869140625,325.0,2048.0,0.03564453125,73.0,2048.0,0.01513671875,31.0,2048.0,0.06982421875,0.4179994388327722,0.401034151034151,0.6111062881615881,0.6343432589634517
M2,E3,False,0.00439453125,9.0,2048.0,0.0,0.0,2048.0,0.00048828125,1.0,2048.0,0.0016276041666666667,0.44708994708994715,0.48614117364117365,0.6393205428711982,0.6234048094452643
M3,A,False,0.00341796875,7.0,2048.0,0.0,0.0,2048.0,0.0029296875,6.0,2048.0,0.0021158854166666665,0.23304473304473303,0.34334415584415584,0.8722111294383194,0.7382585293862315
M3,B,True,,,,,,,,,,,,,,
M3,C,False,0.0048828125,10.0,2048.0,0.00048828125,1.0,2048.0,0.00244140625,5.0,2048.0,0.0026041666666666665,0.21576879910213242,0.25036075036075034,0.8741788928437075,0.8301935931938537
M3,D,False,0.0,0.0,2048.0,0.0,0.0,2048.0,0.00244140625,5.0,2048.0,0.0008138020833333334,0.16528379028379028,0.17899230399230398,0.9172960615794196,0.9098880111120757
M3,E3,False,0.0009765625,2.0,2048.0,0.00390625,8.0,2048.0,0.0048828125,10.0,2048.0,0.0032552083333333335,0.23304473304473303,0.34334415584415584,0.8722111294383194,0.7382585293862315
M4,A,False,0.658203125,1348.0,2048.0,0.09814453125,201.0,2048.0,0.58984375,1208.0,2048.0,0.44873046875,0.5374078082411415,0.78006253006253,0.4235610730098099,0.183696501432416
M4,B,False,0.53173828125,1089.0,2048.0,0.205078125,420.0,2048.0,0.73046875,1496.0,2048.0,0.4890950520833333,0.6506232964566298,0.6907467532467533,0.39748820788841627,0.39430506120322945
M4,C,False,0.53515625,1096.0,2048.0,0.30126953125,617.0,2048.0,0.67626953125,1385.0,2048.0,0.5042317708333334,0.7032527657527657,0.7645502645502645,0.27765720403970257,0.22597447695112424
M4,D,False,0.46484375,952.0,2048.0,0.294921875,604.0,2048.0,0.67236328125,1377.0,2048.0,0.4773763020833333,0.6789822831489497,0.707010582010582,0.3074630320919061,0.3034985675839917
M4,E3,False,0.0,0.0,2048.0,0.0,0.0,2048.0,0.0,0.0,2048.0,0.0,0.5374078082411415,0.78006253006253,0.4235610730098099,0.183696501432416
M5,A,False,0.09375,192.0,2048.0,0.0,0.0,2048.0,0.0078125,16.0,2048.0,0.033854166666666664,0.3987193362193362,0.41504329004329005,0.701941719477964,0.7069190033857106
M5,B,True,,,,,,,,,,,,,,
M5,C,False,0.1494140625,306.0,2048.0,0.0068359375,14.0,2048.0,0.04150390625,85.0,2048.0,0.06591796875,0.39932058682058685,0.4050925925925926,0.6440952628989786,0.6252278843649622
M5,D,False,0.11279296875,231.0,2048.0,0.00537109375,11.0,2048.0,0.01318359375,27.0,2048.0,0.043782552083333336,0.35714285714285715,0.3544071669071669,0.7206065341320138,0.717423387446827
M5,E3,False,0.00537109375,11.0,2048.0,0.00439453125,9.0,2048.0,0.00048828125,1.0,2048.0,0.00341796875,0.3987193362193362,0.41504329004329005,0.701941719477964,0.7069190033857106
