configuration,far_fold1,far_fold2,far_fold3,far_mean
E0/E1 scalar n=1,0.20703125,0.0,0.2529296875,0.1533203125
E0/E1 scalar n=2,0.2177734375,0.0,0.2919921875,0.169921875
E0/E1 scalar n=4,0.197265625,0.0,0.287109375,0.16145833333333334
E0/E1 scalar n=8,0.1796875,0.0,0.2900390625,0.15657552083333334
E0/E1 scalar n=12,0.154296875,0.0,0.2880859375,0.1474609375
E2 shrunk-cond n=4,0.1826171875,0.0,0.23046875,0.1376953125
E2 shrunk-cond n=8,0.169921875,0.0,0.203125,0.12434895833333333
E3 loc+scale n=4,0.0029296875,0.0,0.0,0.0009765625
E3 loc+scale n=8,0.0087890625,0.0,0.0,0.0029296875
E4 +cons.tail n=4,0.025390625,0.0009765625,0.0,0.0087890625
E4 +cons.tail n=8,0.001953125,0.001953125,0.0,0.0013020833333333333
