bearing,ring,extent,damage_kind,condition,median_margin,detection,q25,q75,n_frames
K001,healthy,0,healthy,all,-2.692265599143009,0.00078125,-2.880684848991967,-2.4565954147187554,1280
K001,healthy,0,healthy,N15_M07_F10,-2.615510363135023,0.0,-2.7943693647815913,-2.4045674727271518,320
K001,healthy,0,healthy,N09_M07_F10,-2.6545685651798374,0.0,-2.8112295724598315,-2.3567880887094357,320
K001,healthy,0,healthy,N15_M01_F10,-2.815380236347857,0.0,-2.9619505567277056,-2.597066683667538,320
K001,healthy,0,healthy,N15_M07_F04,-2.7068786933339126,0.003125,-2.8953773374074157,-2.495192300352362,320
K002,healthy,0,healthy,all,-2.1671522692355882,0.00703125,-2.4340263950486953,-1.8489788163341991,1280
K002,healthy,0,healthy,N15_M07_F10,-1.9997331009397323,0.0,-2.20033059482381,-1.6955591512692785,321
K002,healthy,0,healthy,N09_M07_F10,-3.0422964433733717,0.003134796238244514,-3.3154480568620848,-2.6782790657009494,319
K002,healthy,0,healthy,N15_M01_F10,-2.1004136164484155,0.0,-2.2600997250236254,-1.821621567580556,321
K002,healthy,0,healthy,N15_M07_F04,-2.08280396478848,0.025078369905956112,-2.27631488657412,-1.67238356817453,319
K003,healthy,0,healthy,all,-2.635116085976268,0.00859375,-2.8114042690097176,-2.403749809733194,1280
K003,healthy,0,healthy,N15_M07_F10,-2.839582817600725,0.0,-3.039921271434752,-2.571938297121564,320
K003,healthy,0,healthy,N09_M07_F10,-2.5565850684306297,0.003125,-2.7058449240161795,-2.356321848654888,320
K003,healthy,0,healthy,N15_M01_F10,-2.6866178065453434,0.0,-2.857722267091573,-2.4970211648936087,320
K003,healthy,0,healthy,N15_M07_F04,-2.516206898110669,0.03125,-2.6576830364940207,-2.3019761016147906,320
K004,healthy,0,healthy,all,-1.5885633044624794,0.0125,-1.7579784964010172,-1.3863909916052992,1280
K004,healthy,0,healthy,N15_M07_F10,-1.7442680348811963,0.021875,-1.9066865852700752,-1.5369361883871526,320
K004,healthy,0,healthy,N09_M07_F10,-1.4522313759588252,0.025,-1.5679348721128505,-1.2322180562607175,320
K004,healthy,0,healthy,N15_M01_F10,-1.6010897390767753,0.0,-1.7491152976592534,-1.4221488262723492,320
K004,healthy,0,healthy,N15_M07_F04,-1.6295284785840378,0.003125,-1.783398016346154,-1.424369141198209,320
